Question,Answer
What is Noah's background in Mixed Martial Arts?,"Noah is a veteran of 10 MMA fights: 8 amateur (including 2 amateur title fights, one of which he won by defeating 5-0 Edgar Sorto for the Fierce Fighting Championship 135lb title) and 2 professional fights. One of his professional fights can be viewed here: https://youtu.be/MgcAdEoJMzg?si=LHvKffoArGlPDR25. He has been coaching BJJ and MMA at Xtreme Couture since 2021. The gym has a real fight pedigree, multiple UFC champions have trained there. He builds training plans across skill levels, reads the room on when to push and when to simplify, and explains complex techniques to people who are exhausted and getting hit. He has held that role through three career changes. The consistency says more than the job title."
What are Noah's software engineering skills?,"Noah builds production applications with Python and modern AI frameworks. He works with FastAPI for API backends, Supabase pgvector for vector databases, the Anthropic API for LLM integration with OpenAI for embeddings, and LangSmith for observability. He uses Git and GitHub for version control, follows modular code design with single-responsibility modules, implements error handling with graceful degradation, and uses environment variables for configuration management. He leverages AI coding assistants like GitHub Copilot and Claude Code to accelerate development. The skill set is demonstrated through Portfolia, a 22-node functional pipeline that handles intent classification, semantic retrieval, grounding validation, hallucination checking, and multi-turn conversation management."
What engineering principles does Noah follow?,"Modular architecture, single-responsibility modules that can be debugged and replaced independently. Observability. LangSmith tracing on every LLM call, Supabase analytics for conversation logging, structured logging at key checkpoints. Error handling, graceful degradation with fallback behaviors rather than crashing on any single failure. Version control, meaningful commits and incremental development. Configuration management, environment variables and settings classes, never hardcoded secrets. These are not theoretical preferences. They are patterns visible in Portfolia's codebase, where each pipeline stage is isolated, every LLM call is traced, and when retrieval cannot ground an answer, the system says so instead of guessing."
How does Noah approach system architecture?,"Noah designs systems with clear separation of concerns. For Portfolia: the data layer is Supabase PostgreSQL with pgvector for embeddings and relational data. The retrieval layer is a RAG engine with semantic search using OpenAI embeddings and dual similarity thresholds. The orchestration layer is a 22-node functional pipeline with 7 stages, classify, retrieve, validate, generate, check, format, log. The presentation layer adapts response depth based on what the user asks. External services are modular. Twilio for SMS, Resend for email, each with graceful degradation if unavailable. LangSmith provides observability across every LLM call. The architecture prioritizes stateless operation for serverless compatibility and debuggability at every stage."
What does Noah understand about production GenAI systems?,"Noah understands the core challenges: grounding responses in factual context via RAG rather than letting the model hallucinate freely, managing costs by routing cheap classification to Haiku and expensive generation to Sonnet, minimizing latency through intent-first routing that skips unnecessary work, tracing every LLM call for debugging with LangSmith, handling failures gracefully with fallback responses, managing conversation context within token limits using bounded memory windows, and validating output quality through hallucination checking. These are not theoretical, they are implemented and running in Portfolia."
What GenAI patterns has Noah implemented?,"Retrieval-Augmented Generation with pgvector semantic search and dual similarity thresholds. Intent classification before retrieval so non-knowledge queries skip the entire RAG pipeline. A functional pipeline where each node does one thing and returns a partial state update. Engagement pacing that adapts response style based on conversation phase and message count. Bounded conversation memory with sliding windows for topics and entities. Grounding validation that checks whether retrieved context supports an answer. Hallucination checking that compares generated output against source material. Action planning that detects hiring signals and triggers SMS or email. Graceful degradation at every stage, the system prefers honest fallbacks over confidently wrong answers."
How does Noah debug and troubleshoot applications?,"LangSmith traces are the first stop, full prompt, model response, latency, and cost for every LLM call. When a response sounds wrong, the trace shows exactly what chunks were retrieved and what the model generated. Supabase analytics queries reveal patterns, which query categories have low retrieval scores, where latency spikes happen, what users are asking that the knowledge base does not cover. Structured logging at key pipeline checkpoints with severity levels. Git for tracking when regressions were introduced. Incremental testing, small changes validated immediately rather than large refactors that obscure the cause of failures."
Is Noah available for freelance or contract work?,"Yes. Noah takes on freelance and contract projects building AI-powered applications — conversational assistants, RAG systems, agentic pipelines, data analysis tools. The system you are talking to is both the portfolio piece and the proof of capability. He designed and built every layer: the 22-node pipeline, the pgvector retrieval system, the state machine flows, the Twilio and Supabase integrations, the hallucination checking, the engagement pacing, and the prompt engineering. The architecture patterns transfer directly to other domains. If you have a project in mind, say the word and I will set up a connection — or reach out directly on LinkedIn: https://www.linkedin.com/in/noah-de-la-calzada-250412358/"
What certifications does Noah have?,"Four certifications. Fundamentals of Building AI Agents from IBM (January 2026), covering agentic AI architecture and design patterns. Building Generative AI-Powered Applications with Python from IBM (August 2025), hands-on generative AI development. AI For Everyone from DeepLearning.AI (August 2025), broad foundation in AI concepts and applications. 100 Days of Code from Udemy (April 2025), structured Python programming. The certifications complement the shipped projects. The projects prove he can build. The certifications show he also invested in formal foundations alongside the hands-on work."
How does Noah stay current with AI and agentic technology?,"Noah's learning velocity is the point, not any single credential. He went from no programming experience to shipping a production 22-node RAG pipeline in under a year. That trajectory is more informative than a degree timeline. The approach is project-driven learning: identify a real problem, build a system that solves it, and learn the stack by shipping. Portfolia required learning RAG architecture, vector databases, LLM integration, prompt engineering, state machine design, API development, and production observability — not as isolated tutorials but as interconnected parts of one working system. He supplements with structured coursework — IBM certifications in agentic AI and generative AI development, DeepLearning.AI foundations — but the certifications follow the projects, not the other way around. He uses AI coding assistants like GitHub Copilot and Claude Code as force multipliers, which means he is learning the tools that define how engineering teams will work, not just the languages they write in. The AI landscape changes faster than any curriculum can track. Noah's approach is to build with the current best tools, understand the architecture patterns underneath them, and adapt when the tools change. The patterns — intent routing, grounding validation, agent coordination, deterministic execution — outlast any specific framework."
What programming languages does Noah work with and what is he learning?,"Python is the primary language. Noah builds production applications with it: FastAPI backends, RAG pipelines, data analysis with pandas and scikit-learn, API integrations, and pipeline orchestration. He is comfortable with the Python ecosystem for AI and data engineering — LangChain, Anthropic SDK, OpenAI SDK, Supabase client, Twilio, Resend. SQL for database work, both analytical queries and application-level operations through Supabase Postgres. Git for version control. Noah is actively expanding into Go, which is the other dominant language in production AI infrastructure. Go's concurrency model and compilation speed make it well-suited for high-throughput API services, agent orchestration layers, and the kind of low-latency infrastructure that AI systems need at scale. The combination of Python for ML and pipeline logic with Go for performance-critical infrastructure is the standard stack at companies building production AI systems."
Why did Noah leave sales for engineering?,"He is not leaving sales because he is bad at it, he is top 10% at Tesla. The move is about position in the system. Sales taught him how the business actually works: how customers think, where friction shows up, and which decisions really matter. Over time he realized he was more interested in building the systems behind the decisions than executing the pitch one conversation at a time. He kept noticing the same pattern across sales roles, manual workflows, slow feedback loops, data that existed but was not being used. Most people treat those as constraints. Noah started teaching himself to work with data and software to fix them instead. His framing: a good salesperson improves one conversation at a time, while better tools and models create leverage for thousands of decisions. He wants to operate upstream, where that leverage lives."
What did Noah's time at TQL teach him that transfers to engineering?,"The trucking market is a live supply-and-demand system. When trucks are scarce, rates spike overnight, and Noah spent 16 months as a Logistics Account Executive pricing freight in real time against that volatility, factoring in truck availability by region, fuel costs, driver willingness to run a lane, weather, seasonality, and how fast the load had to move. Get it wrong and you lose the load to a competitor or eat the margin. He managed 30+ active shipper accounts simultaneously, each with different lanes, volumes, and service requirements. The hardest part was carrier fallouts: a carrier accepts a load, then cancels day-of, leaving him scrambling to find coverage before the shipper's warehouse closes. That happened multiple times per week. His job was to absorb the stress, find a solution, and keep the customer's operation running without escalation. That is where he first learned to make decisions with incomplete information under time pressure, which is exactly the condition engineering teams operate in when systems fail and priorities shift before the data is complete."
What did Noah learn from working in real estate?,"Decision-making under uncertainty with permanent consequences. At Signature Real Estate Group, Noah handled residential transactions end to end, and the core skill was probabilistic pricing. A home's price is not about what the seller wants, it is about where buyers will react. Priced too high, it sits and loses momentum. Priced strategically, it creates urgency and can generate multiple offers. He had to weigh comparable sales, days-on-market trends, buyer sentiment, financing friction, and seasonality, then turn that into a recommendation that balanced maximizing value against actually closing. The second skill was keeping deals alive under stress. Transactions die from appraisal gaps, inspection findings, financing delays, and buyer cold feet, so his job was managing expectations, emotions, and incentives so rational decisions could still happen. He coordinated 5 to 7 parties per deal, lenders, inspectors, appraisers, escrow, title, each optimizing for different things. That is stakeholder management with someone's life savings on the line."
What does coaching MMA have to do with software?,"The coaching philosophy is the connection. Noah teaches the higher purpose behind each technique rather than drilling memorized sequences, because strict memorization has low retention and any variation from the sequence in live competition throws an athlete off. If the athlete understands why a technique works, they can adapt in real time when the situation changes. That is the same argument for learning engineering from first principles instead of copying tutorials, systems break in ways the tutorial never covered. The coaching itself started as an assistant role on his younger brother's high school wrestling team. When the head kids coach at Xtreme Couture reached out, it was a natural progression, he now coaches kids ages 6 to 12 in BJJ, and after retiring from MMA competition he started coaching amateur fighters and cornering them on the regional circuit. He has held the role through three career changes."
How does Noah approach learning something new?,"He starts with a mental model of how the system works at a high level before touching tools or syntax: what problem exists, why it exists, and which constraints matter. Without that, details do not stick and skills do not transfer. Then he breaks the subject into core primitives, the smallest ideas everything else builds on, and masters those early even when it feels slower, because fundamentals compound and prevent shallow understanding. From there he applies the material to real problems as fast as possible, even imperfectly. Friction is the point, it exposes gaps and forces him to clarify assumptions instead of memorizing steps. Mistakes get treated as diagnostic signals: when something breaks, he traces it back to the wrong assumption and updates the model. Then he revisits the same concepts repeatedly at increasing depth, each pass adding nuance. The result is topics he can reason with, not just execute. It is the same principle he uses coaching fighters, understand why it works so you can adapt when it does not."
How does a biology degree translate to AI and data work?,"Biology is inherently quantitative, even when the degree is not labeled biostatistics. Noah earned his Bachelor of Science in Biology from UNLV in 2018, and the program trained him in the parts of data work that do not come from a coding tutorial: descriptive statistics, distributions, variance, and outliers, hypothesis-driven thinking that frames questions as testable claims rather than assumptions, and interpreting p-values, confidence, and experimental uncertainty conceptually instead of mechanically. The most transferable habit is evaluating signal versus noise in real-world data where clean results are rare, and watching for confounders, bias, and missing controls. That foundation is why statistics, machine learning, and model limitations came relatively easily later. He was trained to ask when a method breaks, not just how to run it, which showed up directly in the attrition project when he weighted recall and class imbalance over headline accuracy."
What does Noah actually do at Tesla day to day?,"His day starts with responding to his leads and covering teammates' leads when they are out, then working through follow-ups, handling incoming leads, and completing follow-up appointments. The sales approach centers on motivation: figure out which Model the customer wants and why, then use that to serve them through the whole process. The skill that separates performers is qualifying early, he can quickly identify significant negative equity, poor credit, or other obstacles, and knows when to invest time versus move on. He compares the job to the myth of Sisyphus, every day you start at zero and push the rock up the mountain again. What he values is knowing he provided good service while hitting company KPIs. The team is 10 to 15 people and he counts all of them as friends, which says something about connecting across different backgrounds. One boundary: Noah signed an NDA covering Tesla's internal systems and processes, so I do not speculate about Tesla internals."
What was the hardest part of building Portfolia?,"Not the happy path. Noah says the hardest part of building me was handling edge cases gracefully and minimizing hallucinations, all the ways a conversation goes sideways while the system still has to give accurate, grounded responses. Gibberish input, prompt injection, questions the knowledge base cannot answer, users who ignore the menu entirely. The happy path of embed, retrieve, generate took a fraction of the effort that the quality gates did, which is why grounding validation and hallucination checking exist as separate pipeline stages rather than hopes. The next goal is internet access. Right now, if a question falls outside my knowledge base, I say I do not know. The plan is for me to offer to look it up instead, which turns a dead end into a choice. Limited to what has been embedded is an honest constraint, but it is still a constraint."
What does Noah do outside of work and coding?,"Pickleball, competitive chess, and yoga, alongside the BJJ and MMA coaching at Xtreme Couture. Chess is the oldest thread, he grew up playing competitively, and it is what first pulled him toward AI when he watched AlphaZero play. The pattern across all of them is the same: strategy, physical maintenance, and deliberate improvement. He is the kind of person who turns hobbies into training."
Where can I see Noah's work?,"Two places, depending on what you are after. The code lives on GitHub: https://github.com/iNoahCodeGuy — Portfolia's backend and frontend, two employee attrition models, two customer segmentation studies, the response time analysis app, and the lead response heatmap, all public. The professional side lives on LinkedIn: https://www.linkedin.com/in/noah-de-la-calzada-250412358/. And you are currently inside the flagship project, so asking me questions counts as seeing his work too."
